taxonomy,imt,iml_unit,noDamageLimit,iml,d0,d1,d2,d3,d4,d5
PSE-MURmanufactured-2-T-F-F-F-T,MMI,MMI,1,3.0,0.075373688464245414,0.0085281117380647808,0.00085756979267648248,4.880073319080136e-05,7.4606106958974294e-07,1.1777911979038436e-10
PSE-MURmanufactured-2-T-F-F-F-T,MMI,MMI,1,3.5,0.1199699429454093,0.014788314936843072,0.001574080874354844,9.4475199096444307e-05,1.537693998243661e-06,2.709050761495746e-10
PSE-MURmanufactured-2-T-F-F-F-T,MMI,MMI,1,4.0,0.19089004126074249,0.026668900140419449,0.0030874656736734618,0.00020054002575276009,3.5823265680523519e-06,7.4296535590434587e-10
PSE-MURmanufactured-2-T-F-F-F-T,MMI,MMI,1,4.5,0.29960549930757563,0.049986998166801522,0.0065334471507805247,0.00047595176779824389,9.7357156717547966e-06,2.5614804721740825e-09
PSE-MURmanufactured-2-T-F-F-F-T,MMI,MMI,1,5.0,0.45266354015370358,0.09602470362637272,0.014865200141507051,0.0012727309960962607,3.1530732508500137e-05,1.1621774320680345e-08
PSE-MURmanufactured-2-T-F-F-F-T,MMI,MMI,1,5.5,0.63671118452102515,0.18278686332282468,0.035419432765309788,0.0037694783487235428,0.00012108297141166791,7.0610659541614496e-08
PSE-MURmanufactured-2-T-F-F-F-T,MMI,MMI,1,6.0,0.80943300761478276,0.32725124366192504,0.083686811270772821,0.011733009460991983,0.00052567963390326433,5.5362430761984882e-07
PSE-MURmanufactured-2-T-F-F-F-T,MMI,MMI,1,6.5,0.92549137266856718,0.52173869009458884,0.18219609628834366,0.035281370769707388,0.0023506888310615981,5.0417421130211082e-06
PSE-MURmanufactured-2-T-F-F-F-T,MMI,MMI,1,7.0,0.97862093238163872,0.71892266679501748,0.34259544576541257,0.093719642472488096,0.0096652169832783796,4.5861700571414588e-05
PSE-MURmanufactured-2-T-F-F-F-T,MMI,MMI,1,7.5,0.99536505300789002,0.86584797525182455,0.54153627172599927,0.20759146149389551,0.033460872726881807,0.00036391798041246481
PSE-MURmanufactured-2-T-F-F-F-T,MMI,MMI,1,8.0,0.999212340410496,0.94809561986816637,0.72983377006100669,0.37910008619615088,0.094104814765567535,0.0023454696454044965
PSE-MURmanufactured-2-T-F-F-F-T,MMI,MMI,1,8.5,0.99989264635026709,0.98373397318143796,0.86813234116723981,0.57990172129062478,0.21442252576161791,0.011967035399460091
