tax,vi
PSE-MURmanufactured-2-T-F-F-F-T,0.84
PSE-MURsimplestone-5-T-F-F-T-T,0.87288
PSE-MURsimplestone-2-T-F-T-T-T,0.89288
PSE-MURadobe-5-T-F-F-T-T,0.9700000000000001
JOR-RCFw/oERD-6-T-F-F-F-T,0.728
JOR-MURmanufactured-6-T-F-F-F-T,0.84
PSE-MURadobe-2-T-F-F-F-T,0.9600000000000001
JOR-MURmanufactured-4-T-F-F-F-T,0.84
JOR-RCFw/oERD-4-T-F-F-F-T,0.728
PSE-RCFw/oERD-4-T-F-F-T-T,0.738
PSE-MURsimplestone-1-T-F-T-F-T,0.88288
PSE-MURsimplestone-4-T-F-T-F-T,0.88288
PSE-MURadobe-3-T-F-F-F-T,0.9600000000000001
JOR-MURsimplestone-6-T-F-F-F-T,0.86288
JOR-RCFw/oERD-3-F-T-F-F-T,0.668
PSE-MURadobe-3-T-F-F-T-T,0.9700000000000001
PSE-RCFw/oERD-2-T-T-F-F-T,0.748
PSE-MURsimplestone-6-T-F-F-T-T,0.87288
PSE-RCFw/oERD-4-T-T-F-F-T,0.748
PSE-MURsimplestone-3-T-F-F-F-T,0.86288
JOR-MURsimplestone-3-F-F-F-F-T,0.78288
PSE-RCFw/oERD-5-T-T-F-T-T,0.758
JOR-MURsimplestone-2-T-F-F-F-T,0.86288
PSE-RCFw/oERD-2-T-T-F-T-T,0.758
PSE-MURmanufactured-1-T-F-F-T-T,0.85
JOR-MURsimplestone-4-F-F-F-F-T,0.78288
JOR-MURadobe-9-F-F-F-F-T,0.8800000000000001
PSE-MURsimplestone-2-T-F-T-F-T,0.88288
JOR-RCFw/oERD-8-T-F-F-F-T,0.728
JOR-MURmanufactured-1-T-F-F-F-T,0.84
JOR-RCFw/oERD-1-T-F-F-F-T,0.728
JOR-MURmanufactured-8-T-F-F-F-T,0.84
JOR-MURadobe-8-T-F-F-F-T,0.9600000000000001
JOR-MURadobe-8-F-F-F-F-T,0.8800000000000001
JOR-MURsimplestone-7-T-F-F-F-T,0.86288
JOR-RCFw/oERD-8-T-T-F-F-T,0.748
JOR-RCFw/oERD-3-F-F-F-F-T,0.648
PSE-MURsimplestone-1-T-F-F-F-T,0.86288
PSE-MURsimplestone-1-T-F-F-T-T,0.87288
JOR-MURmanufactured-3-F-F-F-F-T,0.76
JOR-RCFw/oERD-3-T-T-F-F-T,0.748
JOR-MURsimplestone-6-F-F-F-F-T,0.78288
PSE-MURsimplestone-2-T-F-F-T-T,0.87288
PSE-MURsimplestone-6-T-F-T-T-T,0.89288
JOR-MURadobe-3-T-F-F-F-T,0.9600000000000001
JOR-RCFw/oERD-7-T-T-F-F-T,0.748
JOR-MURmanufactured-7-F-F-F-F-T,0.76
