night,day,iml
1.09625401691e-06,6.57752410146e-07,3.0
1.80492273948e-06,1.08295364369e-06,3.5
3.06933009592e-06,1.84159805755e-06,4.0
5.46988625409e-06,3.28193175246e-06,4.5
1.04106841357e-05,6.24641048144e-06,5.0
2.16381839343e-05,1.29829103606e-05,5.5
5.01979552432e-05,3.01187731459e-05,6.0
0.000131742404143,7.90454424858e-05,6.5
0.000388526923179,0.000233116153908,7.0
0.00123932591666,0.000743595549995,7.5
0.00398570584822,0.00239142350893,8.0
0.0119007490386,0.00714044942313,8.5
0.0310393129123,0.0186235877474,9.0
0.0692777956312,0.0415666773787,9.5
0.132939326429,0.0797635958574,10.0
