iml,bt1and4,bt2,bt3and6,bt5
3,3.4229203183E-007,7.92920034409E-007,8.85274575646E-007,1.17569258773E-007
3.5,6.32301598191E-007,1.65018300391E-006,1.8755969442E-006,1.96587208623E-007
4,1.27032280373E-006,3.89325673156E-006,4.52845879295E-006,3.42295801259E-007
4.5,2.86134812244E-006,1.0742503849E-005,1.28421407567E-005,6.32309406834E-007
5,7.46278742325E-006,0.000035355,4.34833123951E-005,1.27034086295E-006
5.5,2.31125817514E-005,0.0001376438,0.0001732848,2.86139589523E-006
6,8.52756457148E-005,0.0006018063,0.0007656633,7.46293487641E-006
6.5,0.0003616099,0.0026831926,0.0033879771,2.31131167177E-005
7,0.001622164,0.0108943288,0.0134286357,8.52778862384E-005
7.5,0.006879875,0.0370438142,0.0441997189,0.0003616202
8,0.0249992838,0.1022177408,0.1179104311,0.0016222099
8.5,0.0741231278,0.2285546245,0.2549447879,0.0068800552
9,0.1779868785,0.4145135303,0.4473311589,0.0249998492
9.5,0.3465347499,0.6162977766,0.6460188205,0.0741245072
10,0.5497522015,0.7789999397,0.7994563811,0.1779894821
